2018/03/06 03:04:35 socat[21594] E write(6, 0x561b1ef4b700, 945): Broken pipe
2018/03/06 03:04:35 socat[21596] E write(6, 0x561b1ef4b700, 531): Broken pipe
2018/03/06 03:04:35 socat[21598] E write(6, 0x561b1ef4b700, 783): Broken pipe
2018/03/06 03:04:35 socat[21600] E write(6, 0x561b1ef4b700, 9): Broken pipe
2018/03/06 03:04:35 socat[21604] E write(6, 0x561b1ef4b700, 9): Broken pipe
2018/03/06 03:04:35 socat[21606] E write(6, 0x561b1ef4b700, 9): Broken pipe
2018/03/06 03:04:35 socat[21608] E write(6, 0x561b1ef4b700, 9): Broken pipe
2018/03/06 03:04:35 socat[21610] E write(6, 0x561b1ef4b700, 9): Broken pipe
2018/03/06 03:04:35 socat[21612] E write(6, 0x561b1ef4b700, 1053): Broken pipe
2018/03/06 03:04:35 socat[21614] E write(6, 0x561b1ef4b700, 1950): Broken pipe
2018/03/06 03:04:35 socat[21616] E write(6, 0x561b1ef4b700, 9): Broken pipe
2018/03/06 03:04:35 socat[21618] E write(6, 0x561b1ef4b700, 2780): Broken pipe
2018/03/06 03:04:35 socat[21620] E write(6, 0x561b1ef4b700, 9): Broken pipe
2018/03/06 03:04:35 socat[21622] E write(6, 0x561b1ef4b700, 1030): Broken pipe
2018/03/06 03:04:35 socat[21624] E write(6, 0x561b1ef4b700, 522): Broken pipe
2018/03/06 03:04:35 socat[21626] E write(6, 0x561b1ef4b700, 9): Broken pipe
2018/03/06 03:04:35 socat[21628] E write(6, 0x561b1ef4b700, 657): Broken pipe
2018/03/06 03:04:35 socat[21630] E write(6, 0x561b1ef4b700, 9): Broken pipe
2018/03/06 03:04:35 socat[21632] E write(6, 0x561b1ef4b700, 11): Broken pipe
2018/03/06 03:04:35 socat[21634] E write(6, 0x561b1ef4b700, 423): Broken pipe
2018/03/06 03:04:35 socat[21636] E write(6, 0x561b1ef4b700, 270): Broken pipe
2018/03/06 03:04:35 socat[21638] E write(6, 0x561b1ef4b700, 540): Broken pipe
2018/03/06 03:04:35 socat[21640] E write(6, 0x561b1ef4b700, 9): Broken pipe
