2017/12/01 03:08:17 socat[3409] E write(5, 0x5607bcc1e6c0, 4): Broken pipe
2017/12/01 03:08:19 socat[3261] E write(6, 0x5607bcc1e6c0, 21): Broken pipe
2017/12/01 03:08:29 socat[3226] E write(5, 0x5607bcc1e6c0, 4): Broken pipe
2017/12/01 03:08:29 socat[3224] E write(6, 0x5607bcc1e6c0, 21): Broken pipe
2017/12/01 04:34:22 socat[3825] E write(6, 0x55e3ec0986c0, 21): Broken pipe
2017/12/01 04:38:14 socat[28182] E write(6, 0x55f6788886c0, 20): Broken pipe
2017/12/01 04:38:14 socat[3878] E write(6, 0x55f6788886c0, 21): Broken pipe
2017/12/01 04:39:28 socat[28216] E write(6, 0x55f6788886c0, 21): Broken pipe
2017/12/01 04:40:49 socat[7103] E write(6, 0x55f6788886c0, 1): Broken pipe
2017/12/01 04:40:49 socat[28374] E write(6, 0x55f6788886c0, 21): Broken pipe
2017/12/01 04:44:55 socat[7113] E write(6, 0x55f6788886c0, 21): Broken pipe
2017/12/01 04:47:21 socat[15961] E write(6, 0x55f6788886c0, 21): Broken pipe
2017/12/01 04:50:34 socat[18683] E write(6, 0x55f6788886c0, 21): Broken pipe
2017/12/05 03:56:29 socat[2102] E write(6, 0x562d6088f640, 1): Broken pipe
2017/12/05 04:18:58 socat[5892] E write(6, 0x562d6088f640, 1): Broken pipe
2017/12/05 04:18:58 socat[5898] E write(6, 0x562d6088f640, 1): Broken pipe
2017/12/05 04:18:58 socat[5902] E write(6, 0x562d6088f640, 1): Broken pipe
2017/12/05 04:18:58 socat[5908] E write(6, 0x562d6088f640, 1): Broken pipe
2017/12/05 04:18:59 socat[5936] E write(6, 0x562d6088f640, 1): Broken pipe
2017/12/05 04:18:59 socat[5940] E write(6, 0x562d6088f640, 1): Broken pipe
2017/12/05 04:18:59 socat[5958] E write(6, 0x562d6088f640, 1): Broken pipe
2017/12/05 04:18:59 socat[5976] E write(6, 0x562d6088f640, 1): Broken pipe
2017/12/05 04:18:59 socat[5980] E write(6, 0x562d6088f640, 1): Broken pipe
2017/12/05 04:19:03 socat[6352] E write(6, 0x562d6088f640, 1): Broken pipe
2017/12/05 04:19:03 socat[6356] E write(6, 0x562d6088f640, 1): Broken pipe
2017/12/05 04:19:03 socat[6360] E write(6, 0x562d6088f640, 1): Broken pipe
2017/12/05 04:19:03 socat[6408] E write(6, 0x562d6088f640, 1): Broken pipe
2017/12/05 04:19:04 socat[6490] E write(6, 0x562d6088f640, 1): Broken pipe
2017/12/05 04:19:04 socat[6502] E write(6, 0x562d6088f640, 1): Broken pipe
2017/12/05 04:19:05 socat[6508] E write(6, 0x562d6088f640, 1): Broken pipe
2017/12/05 04:19:05 socat[6506] E write(6, 0x562d6088f640, 1): Broken pipe
2017/12/05 04:25:48 socat[9757] E write(6, 0x562d6088f640, 1): Broken pipe
2017/12/05 04:25:48 socat[9765] E write(6, 0x562d6088f640, 1): Broken pipe
2017/12/05 04:25:48 socat[9771] E write(6, 0x562d6088f640, 1): Broken pipe
2017/12/05 04:25:48 socat[9781] E write(6, 0x562d6088f640, 1): Broken pipe
2017/12/05 04:25:48 socat[9793] E write(6, 0x562d6088f640, 1): Broken pipe
2017/12/05 04:25:48 socat[9825] E write(6, 0x562d6088f640, 1): Broken pipe
2017/12/05 04:25:50 socat[10257] E write(6, 0x562d6088f640, 1): Broken pipe
